Transaction_Amount,Transaction_Type,Device_Used,Account_Age,Credit_Score,Previous_Fraud,Day,Day_of_Week,Hour,Minute
8527.58,Deposit,Mobile,16,740,No,20,Monday,3,17
9275.82,Deposit,Web,5,848,No,3,Friday,18,8
2202.49,Online Payment,ATM,2,616,Yes,24,Friday,5,54
9352.32,Deposit,ATM,9,437,Yes,19,Sunday,1,15
2081.75,Online Payment,ATM,15,494,No,8,Wednesday,18,6
962.02,Online Payment,Mobile,20,632,No,22,Wednesday,23,16
8903.61,Withdrawal,ATM,4,475,No,13,Monday,10,19
8897.88,Transfer,Mobile,12,427,Yes,13,Thursday,4,47
98.52,Withdrawal,Web,20,471,Yes,4,Tuesday,11,13
6810.18,Withdrawal,ATM,9,457,No,30,Thursday,10,25
6227.5,Online Payment,Mobile,4,516,Yes,30,Thursday,6,19
7416.02,Deposit,Mobile,16,450,No,13,Thursday,7,16
2625.59,Online Payment,ATM,12,601,No,1,Saturday,3,52
7044.32,Withdrawal,Web,8,521,No,2,Sunday,16,43
6101.25,Transfer,POS Terminal,12,631,Yes,3,Friday,6,9
3693.65,Withdrawal,POS Terminal,7,369,Yes,10,Monday,16,41
9990.64,Online Payment,Web,16,309,Yes,26,Sunday,6,14
9028.65,Withdrawal,Mobile,9,609,Yes,1,Saturday,16,45
5735.57,Transfer,Mobile,2,582,Yes,8,Saturday,0,48
3699.37,Transfer,Mobile,7,640,No,28,Tuesday,4,17
9066.63,Transfer,Web,6,348,Yes,11,Tuesday,1,17
8511.14,Online Payment,Web,15,334,No,3,Friday,12,25
7282.03,Online Payment,ATM,9,756,Yes,7,Tuesday,10,58
5441.45,Transfer,Web,19,515,Yes,16,Thursday,6,41
2636.07,Online Payment,POS Terminal,6,538,No,4,Saturday,17,11
4839.6,Transfer,ATM,18,397,Yes,7,Tuesday,5,18
4172.15,Withdrawal,POS Terminal,20,788,No,6,Thursday,10,14
834.98,Deposit,Mobile,2,472,Yes,5,Wednesday,21,46
441.92,Withdrawal,Web,5,651,No,11,Saturday,11,34
3784.53,Online Payment,ATM,9,780,Yes,13,Thursday,8,50
2368.67,Online Payment,POS Terminal,18,719,No,4,Tuesday,13,30
2706.86,Transfer,POS Terminal,8,653,No,9,Sunday,8,4
4027.14,Transfer,POS Terminal,7,636,No,13,Thursday,15,8
6927.39,Transfer,Web,10,518,Yes,29,Wednesday,20,30
6951.21,Online Payment,Mobile,10,817,No,6,Thursday,12,20
3530.72,Deposit,ATM,7,461,No,8,Saturday,3,20
3536.25,Deposit,ATM,6,645,Yes,6,Monday,6,54
7329.93,Withdrawal,ATM,14,316,Yes,4,Saturday,2,17
2112.87,Online Payment,Mobile,1,689,No,20,Monday,20,38
5345.94,Online Payment,POS Terminal,10,540,Yes,28,Tuesday,18,19
3172.32,Withdrawal,Web,4,490,No,31,Friday,13,14
52.28,Transfer,Mobile,3,594,No,13,Thursday,3,45
773.51,Deposit,Mobile,9,307,No,30,Thursday,18,12
7694.72,Deposit,Mobile,19,624,No,14,Tuesday,4,0
3700.85,Deposit,ATM,20,624,Yes,12,Wednesday,4,56
6020.53,Withdrawal,Mobile,10,785,Yes,8,Wednesday,12,7
9269.66,Withdrawal,Mobile,10,420,Yes,2,Sunday,3,33
9882.71,Withdrawal,POS Terminal,12,494,No,5,Sunday,4,5
9319.25,Online Payment,POS Terminal,20,653,No,29,Wednesday,14,55
1830.24,Transfer,Web,17,788,Yes,8,Wednesday,7,26
4343.18,Transfer,Mobile,13,630,No,22,Wednesday,3,59
1051.94,Online Payment,Web,11,512,Yes,18,Saturday,13,44
3975.95,Withdrawal,POS Terminal,13,481,Yes,5,Wednesday,5,45
4985.67,Deposit,ATM,14,321,No,2,Sunday,9,47
1811.4,Transfer,Mobile,6,721,No,18,Saturday,5,58
5407.79,Withdrawal,Web,12,847,Yes,8,Saturday,21,27
6474.17,Withdrawal,Mobile,11,699,Yes,6,Thursday,17,7
6050.58,Withdrawal,ATM,15,374,No,28,Tuesday,0,1
3492.8,Transfer,Web,10,336,No,27,Monday,13,23
1393.74,Transfer,Mobile,9,606,Yes,14,Friday,8,32
732.48,Withdrawal,POS Terminal,19,376,Yes,7,Tuesday,15,29
3400.44,Deposit,ATM,20,683,No,13,Thursday,14,13
1957.45,Withdrawal,ATM,12,770,Yes,1,Wednesday,1,18
5303.72,Deposit,Web,7,332,No,22,Wednesday,16,58
8511.59,Online Payment,Web,11,850,No,15,Wednesday,0,58
6244.77,Transfer,ATM,6,337,Yes,2,Sunday,5,23
5238.19,Online Payment,Web,18,787,No,5,Wednesday,4,31
1010.46,Transfer,POS Terminal,17,514,No,2,Thursday,4,57
7392.3,Online Payment,ATM,18,822,No,28,Tuesday,11,30
8196.68,Deposit,POS Terminal,12,484,Yes,17,Friday,18,48
5725.89,Transfer,Web,6,780,No,10,Friday,14,0
9789.98,Deposit,ATM,6,699,No,14,Tuesday,17,17
